INFO  - 2015-03-27 10:10:09.069; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[243837, 2438373, 2438374, 2438375, 2438376, 2438377, 2438378, 2438379, 243838, 2438380, ... (100 adds)]} 0 62
INFO  - 2015-03-27 10:10:09.129; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2438474, 2438475, 2438476, 2438477, 2438478, 2438479, 243848, 2438481, 2438482, 2438483, ... (100 adds)]} 0 57
INFO  - 2015-03-27 10:10:09.190; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2438574, 2438575, 2438577, 2438578, 2438579, 243858, 2438580, 2438581, 2438582, 2438583, ... (100 adds)]} 0 59
INFO  - 2015-03-27 10:10:09.274; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2438678, 243868, 2438680, 2438682, 2438683, 2438684, 2438685, 2438687, 2438688, 2438689, ... (100 adds)]} 0 82
INFO  - 2015-03-27 10:10:09.342; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2438785, 2438787, 2438788, 2438789, 243879, 2438790, 2438791, 2438792, 2438793, 2438795, ... (100 adds)]} 0 66
INFO  - 2015-03-27 10:10:09.367; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2436853, 2436854, 2436855, 2436856, 2436858, 2436859, 243686, 2436860, 2436861, 2436862, ... (100 adds)]} 0 1490
INFO  - 2015-03-27 10:10:09.407; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2438883, 2438884, 2438885, 2438886, 2438887, 2438888, 2438889, 243889, 2438890, 2438891, ... (100 adds)]} 0 63
INFO  - 2015-03-27 10:10:09.429; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2438977, 2438978, 2438979, 243898, 2438980, 2438981, 2438983, 2438984, 2438985, 2438986, ... (100 adds)]} 0 60
INFO  - 2015-03-27 10:10:09.470; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2439071, 2439072, 2439073, 2439074, 2439075, 2439076, 2439077, 2439078, 2439079, 243908, ... (100 adds)]} 0 61
INFO  - 2015-03-27 10:10:09.490; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2439176, 2439177, 2439178, 2439179, 243918, 2439180, 2439181, 2439182, 2439183, 2439184, ... (100 adds)]} 0 58
